Journal,ISSN,EISSN,Web of Science,IF(2025),Category_1,IF Quartile(2025)_1,IF Rank(2025)_1,Category_2,IF Quartile(2025)_2,IF Rank(2025)_2,Category_3,IF Quartile(2025)_3,IF Rank(2025)_3,Category_4,IF Quartile(2025)_4,IF Rank(2025)_4,Category_5,IF Quartile(2025)_5,IF Rank(2025)_5,Category_6,IF Quartile(2025)_6,IF Rank(2025)_6
Advanced Fiber Materials,2524-7921,2524-793X,SCIE,22.6,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,16/472,"MATERIALS SCIENCE, TEXTILES",Q1,1/31,,,,,,,,,,,,
DIABETES CARE,0149-5992,1935-5548,SCIE,22.6,ENDOCRINOLOGY & METABOLISM,Q1,6/198,,,,,,,,,,,,,,,
Nature Synthesis,N/A,2731-0582,ESCI,22.6,"CHEMISTRY, MULTIDISCIPLINARY",Q1,9/250,,,,,,,,,,,,,,,
CANCER RESEARCH,0008-5472,1538-7445,SCIE,22.6,ONCOLOGY,Q1,16/333,,,,,,,,,,,,,,,
Nano Research Energy,2791-0091,2790-8119,ESCI,22.6,ENERGY & FUELS,Q1,6/191,NANOSCIENCE & NANOTECHNOLOGY,Q1,6/148,,,,,,,,,,,,
Lancet Global Health,2214-109X,2214-109X,"SCIE, SSCI",22.5,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q1,4/443,,,,,,,,,,,,,,,
Annual Review of Marine Science,1941-1405,1941-0611,SCIE,22.5,GEOCHEMISTRY & GEOPHYSICS,Q1,2/103,MARINE & FRESHWATER BIOLOGY,Q1,1/124,OCEANOGRAPHY,Q1,1/67,,,,,,,,,
Interdisciplinary Materials,2767-4401,2767-441X,ESCI,22.5,"CHEMISTRY, PHYSICAL",Q1,8/191,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,17/472,"PHYSICS, APPLIED",Q1,7/191,,,,,,,,,
Opto-Electronic Advances,2096-4579,2097-3993,SCIE,22.4,OPTICS,Q1,6/129,,,,,,,,,,,,,,,
JACC-Journal of the American College of Cardiology,0735-1097,1558-3597,SCIE,22.3,CARDIAC & CARDIOVASCULAR SYSTEMS,Q1,4/237,,,,,,,,,,,,,,,
DRUG RESISTANCE UPDATES,1368-7646,1532-2084,SCIE,22,PHARMACOLOGY & PHARMACY,Q1,3/356,,,,,,,,,,,,,,,
Nature Reviews Psychology,N/A,2731-0574,SSCI,22,"PSYCHOLOGY, MULTIDISCIPLINARY",Q1,2/222,,,,,,,,,,,,,,,
INTENSIVE CARE MEDICINE,0342-4642,1432-1238,SCIE,22,CRITICAL CARE MEDICINE,Q1,2/66,,,,,,,,,,,,,,,
Lancet Microbe,N/A,2666-5247,SCIE,21.9,INFECTIOUS DISEASES,Q1,2/141,MICROBIOLOGY,Q1,4/167,,,,,,,,,,,,
KIDNEY INTERNATIONAL,0085-2538,1523-1755,SCIE,21.8,UROLOGY & NEPHROLOGY,Q1,3/134,,,,,,,,,,,,,,,
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,1535-4970,SCIE,21.7,CRITICAL CARE MEDICINE,Q1,3/66,RESPIRATORY SYSTEM,Q1,4/107,,,,,,,,,,,,
Clinical and Molecular Hepatology,2287-2728,2287-285X,SCIE,21.7,GASTROENTEROLOGY & HEPATOLOGY,Q1,6/153,,,,,,,,,,,,,,,
Journal of Extracellular Vesicles,N/A,2001-3078,SCIE,21.7,CELL BIOLOGY,Q1,12/207,,,,,,,,,,,,,,,
Trends in Cancer,2405-8033,2405-8025,SCIE,21.6,ONCOLOGY,Q1,17/333,,,,,,,,,,,,,,,
Green Energy and Intelligent Transportation,2097-2512,2773-1537,SCIE,21.5,TRANSPORTATION SCIENCE & TECHNOLOGY,Q1,1/80,,,,,,,,,,,,,,,
Carbon Neutralization,2769-3333,2769-3325,ESCI,21.5,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,Q1,2/114,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,18/472,,,,,,,,,,,,
Carbon Energy,N/A,2637-9368,SCIE,21.4,"CHEMISTRY, PHYSICAL",Q1,9/191,ENERGY & FUELS,Q1,7/191,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,19/472,NANOSCIENCE & NANOTECHNOLOGY,Q1,7/148,,,,,,
TRENDS IN PLANT SCIENCE,1360-1385,1878-4372,SCIE,21.2,PLANT SCIENCES,Q1,3/285,,,,,,,,,,,,,,,
Lancet Psychiatry,2215-0366,2215-0374,"SCIE, SSCI",21.1,PSYCHIATRY,Q1,2/293,,,,,,,,,,,,,,,
MATERIALS SCIENCE & ENGINEERING R-REPORTS,0927-796X,1879-212X,SCIE,21.1,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,20/472,"PHYSICS, APPLIED",Q1,8/191,,,,,,,,,,,,
ADVANCED DRUG DELIVERY REVIEWS,0169-409X,1872-8294,SCIE,21,PHARMACOLOGY & PHARMACY,Q1,4/356,,,,,,,,,,,,,,,
Cyborg and Bionic Systems,N/A,2692-7632,SCIE,20.9,"ENGINEERING, BIOMEDICAL",Q1,4/130,ROBOTICS,Q1,2/48,,,,,,,,,,,,
Science Bulletin,2095-9273,2095-9281,SCIE,20.7,MULTIDISCIPLINARY SCIENCES,Q1,6/140,,,,,,,,,,,,,,,
CLINICAL MICROBIOLOGY REVIEWS,0893-8512,1098-6618,SCIE,20.7,MICROBIOLOGY,Q1,5/167,,,,,,,,,,,,,,,
Nature Geoscience,1752-0894,1752-0908,SCIE,20.6,"GEOSCIENCES, MULTIDISCIPLINARY",Q1,2/259,,,,,,,,,,,,,,,
Lancet Planetary Health,N/A,2542-5196,"SCIE, SSCI",20.5,ENVIRONMENTAL SCIENCES,Q1,7/395,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q1,5/443,,,,,,,,,,,,
Lancet Healthy Longevity,2666-7568,2666-7568,SCIE,20.5,GERIATRICS & GERONTOLOGY,Q1,2/72,,,,,,,,,,,,,,,
Nano Materials Science,2096-6482,2589-9651,ESCI,20.5,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,21/472,NANOSCIENCE & NANOTECHNOLOGY,Q1,8/148,,,,,,,,,,,,
Lancet Haematology,2352-3026,N/A,SCIE,20.4,HEMATOLOGY,Q1,3/103,,,,,,,,,,,,,,,
IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,0162-8828,1939-3539,SCIE,20.4,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Q1,4/210,"ENGINEERING, ELECTRICAL & ELECTRONIC",Q1,4/369,,,,,,,,,,,,
EnergyChem,2589-7780,2589-7780,ESCI,20.4,"CHEMISTRY, MULTIDISCIPLINARY",Q1,10/250,ENERGY & FUELS,Q1,8/191,"ENGINEERING, CHEMICAL",Q1,4/183,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,22/472,,,,,,
NATURE NEUROSCIENCE,1097-6256,1546-1726,SCIE,20.3,NEUROSCIENCES,Q1,3/330,,,,,,,,,,,,,,,
SEMINARS IN CANCER BIOLOGY,1044-579X,1096-3650,SCIE,20.3,ONCOLOGY,Q1,18/333,,,,,,,,,,,,,,,
Nature Computational Science,N/A,2662-8457,SCIE,20.3,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",Q1,3/185,"COMPUTER SCIENCE, THEORY & METHODS",Q1,2/146,MULTIDISCIPLINARY SCIENCES,Q1,7/140,,,,,,,,,
Annual Review of Physiology,0066-4278,1545-1585,SCIE,20.3,PHYSIOLOGY,Q1,2/89,,,,,,,,,,,,,,,
TRENDS IN COGNITIVE SCIENCES,1364-6613,1879-307X,"SCIE, SSCI",20.3,BEHAVIORAL SCIENCES,Q1,1/57,NEUROSCIENCES,Q1,3/330,"PSYCHOLOGY, EXPERIMENTAL",Q1,1/104,,,,,,,,,
PHARMACOLOGICAL REVIEWS,0031-6997,1521-0081,SCIE,20.3,PHARMACOLOGY & PHARMACY,Q1,5/356,,,,,,,,,,,,,,,
HUMAN REPRODUCTION UPDATE,1355-4786,1460-2369,SCIE,20.1,OBSTETRICS & GYNECOLOGY,Q1,1/143,REPRODUCTIVE BIOLOGY,Q1,1/44,,,,,,,,,,,,
Bone Research,2095-4700,2095-6231,SCIE,20.1,CELL & TISSUE ENGINEERING,Q1,2/32,,,,,,,,,,,,,,,
Radiology-Artificial Intelligence,2638-6100,2638-6100,SCIE,20.1,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Q1,5/210,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Q1,1/217,,,,,,,,,,,,
ASTRONOMY AND ASTROPHYSICS REVIEW,0935-4956,1432-0754,SCIE,20.1,ASTRONOMY & ASTROPHYSICS,Q1,3/86,,,,,,,,,,,,,,,
TRENDS IN ENDOCRINOLOGY AND METABOLISM,1043-2760,1879-3061,SCIE,20.1,ENDOCRINOLOGY & METABOLISM,Q1,7/198,,,,,,,,,,,,,,,
Mycosphere,2077-7000,2077-7019,SCIE,19.9,MYCOLOGY,Q1,2/33,,,,,,,,,,,,,,,
Journal of Bioresources and Bioproducts,2097-2415,2369-9698,SCIE,19.9,"MATERIALS SCIENCE, PAPER & WOOD",Q1,1/24,,,,,,,,,,,,,,,
PSYCHOLOGICAL BULLETIN,0033-2909,1939-1455,"SCIE, SSCI",19.9,PSYCHOLOGY,Q1,2/93,"PSYCHOLOGY, MULTIDISCIPLINARY",Q1,3/222,,,,,,,,,,,,
ADVANCED FUNCTIONAL MATERIALS,1616-301X,1616-3028,SCIE,19.9,"CHEMISTRY, MULTIDISCIPLINARY",Q1,11/250,"CHEMISTRY, PHYSICAL",Q1,10/191,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,23/472,NANOSCIENCE & NANOTECHNOLOGY,Q1,9/148,"PHYSICS, APPLIED",Q1,9/191,"PHYSICS, CONDENSED MATTER",Q1,5/81
Applied Catalysis B-Environment and Energy,0926-3373,1873-3883,SCIE,19.7,"CHEMISTRY, PHYSICAL",Q1,11/191,"ENGINEERING, CHEMICAL",Q1,5/183,"ENGINEERING, ENVIRONMENTAL",Q1,2/88,,,,,,,,,
Molecular Neurodegeneration,N/A,1750-1326,SCIE,19.6,NEUROSCIENCES,Q1,5/330,,,,,,,,,,,,,,,
InfoMat,N/A,2567-3165,SCIE,19.6,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,24/472,,,,,,,,,,,,,,,
Advanced Photonics,N/A,2577-5421,SCIE,19.5,OPTICS,Q1,7/129,,,,,,,,,,,,,,,
Energy Storage Materials,2405-8297,2405-8289,SCIE,19.3,"CHEMISTRY, PHYSICAL",Q1,12/191,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,25/472,NANOSCIENCE & NANOTECHNOLOGY,Q1,10/148,,,,,,,,,
SusMat,2766-8479,2692-4552,SCIE,19.2,"CHEMISTRY, MULTIDISCIPLINARY",Q1,12/250,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,Q1,3/114,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,26/472,,,,,,,,,
Journal of Nanostructure in Chemistry,2008-9244,2193-8865,SCIE,19.2,"CHEMISTRY, MULTIDISCIPLINARY",Q1,12/250,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,26/472,NANOSCIENCE & NANOTECHNOLOGY,Q1,11/148,,,,,,,,,
Translational Neurodegeneration,2047-9158,2047-9158,SCIE,19.1,NEUROSCIENCES,Q1,6/330,,,,,,,,,,,,,,,
Chem,2451-9294,2451-9294,SCIE,19.1,"CHEMISTRY, MULTIDISCIPLINARY",Q1,14/250,,,,,,,,,,,,,,,
Applied Mechanics Reviews,0003-6900,2379-0407,SCIE,19.1,MECHANICS,Q1,2/172,,,,,,,,,,,,,,,
JACC-Cardiovascular Imaging,1936-878X,1876-7591,SCIE,19,CARDIAC & CARDIOVASCULAR SYSTEMS,Q1,5/237,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Q1,2/217,,,,,,,,,,,,
Annual Review of Pharmacology and Toxicology,0362-1642,1545-4304,SCIE,19,PHARMACOLOGY & PHARMACY,Q1,6/356,TOXICOLOGY,Q1,1/106,,,,,,,,,,,,
Annual Review of Medicine,0066-4219,1545-326X,SCIE,18.8,"MEDICINE, RESEARCH & EXPERIMENTAL",Q1,2/191,,,,,,,,,,,,,,,
ARTIFICIAL INTELLIGENCE REVIEW,0269-2821,1573-7462,SCIE,18.8,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Q1,6/210,,,,,,,,,,,,,,,
Nature Microbiology,2058-5276,2058-5276,SCIE,18.7,MICROBIOLOGY,Q1,6/167,,,,,,,,,,,,,,,
eTransportation,2590-1168,2590-1168,SCIE,18.7,ENERGY & FUELS,Q1,9/191,"ENGINEERING, ELECTRICAL & ELECTRONIC",Q1,5/369,TRANSPORTATION SCIENCE & TECHNOLOGY,Q1,2/80,,,,,,,,,
TRENDS IN MICROBIOLOGY,0966-842X,1878-4380,SCIE,18.7,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q1,7/328,MICROBIOLOGY,Q1,6/167,,,,,,,,,,,,
Annual Review of Clinical Psychology,1548-5943,1548-5951,"SCIE, SSCI",18.6,PSYCHOLOGY,Q1,3/93,"PSYCHOLOGY, CLINICAL",Q1,1/184,,,,,,,,,,,,
Autophagy,1554-8627,1554-8635,SCIE,18.6,CELL BIOLOGY,Q1,13/207,,,,,,,,,,,,,,,
Nature Protocols,1754-2189,1750-2799,SCIE,18.4,BIOCHEMICAL RESEARCH METHODS,Q1,2/85,,,,,,,,,,,,,,,
Advanced Industrial and Engineering Polymer Research,2542-5048,2542-5048,ESCI,18.4,"MATERIALS SCIENCE, COMPOSITES",Q1,1/35,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,28/472,POLYMER SCIENCE,Q1,2/96,,,,,,,,,
STUDIES IN MYCOLOGY,0166-0616,1872-9797,SCIE,18.3,MYCOLOGY,Q1,3/33,,,,,,,,,,,,,,,
IEEE-CAA Journal of Automatica Sinica,2329-9266,2329-9274,SCIE,18.3,AUTOMATION & CONTROL SYSTEMS,Q1,1/88,,,,,,,,,,,,,,,
Advances in Applied Energy,2666-7924,2666-7924,ESCI,18.3,ENERGY & FUELS,Q1,10/191,,,,,,,,,,,,,,,
Protein & Cell,1674-800X,1674-8018,SCIE,18.2,CELL BIOLOGY,Q1,14/207,,,,,,,,,,,,,,,
Nature Communications,N/A,2041-1723,SCIE,18.1,MULTIDISCIPLINARY SCIENCES,Q1,8/140,,,,,,,,,,,,,,,
National Science Review,2095-5138,2053-714X,SCIE,18.1,MULTIDISCIPLINARY SCIENCES,Q1,8/140,,,,,,,,,,,,,,,
PROGRESS IN LIPID RESEARCH,0163-7827,1873-2194,SCIE,18.1,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q1,8/328,NUTRITION & DIETETICS,Q1,1/114,,,,,,,,,,,,
TRENDS IN MOLECULAR MEDICINE,1471-4914,1471-499X,SCIE,18.1,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q1,8/328,CELL BIOLOGY,Q1,15/207,"MEDICINE, RESEARCH & EXPERIMENTAL",Q1,3/191,,,,,,,,,
Nature Physics,1745-2473,1745-2481,SCIE,18,"PHYSICS, MULTIDISCIPLINARY",Q1,4/112,,,,,,,,,,,,,,,
JAMA Psychiatry,2168-622X,2168-6238,"SCIE, SSCI",18,PSYCHIATRY,Q1,3/293,,,,,,,,,,,,,,,
PhotoniX,N/A,2662-1991,SCIE,18,OPTICS,Q1,8/129,,,,,,,,,,,,,,,
CIRCULATION RESEARCH,0009-7330,1524-4571,SCIE,18,CARDIAC & CARDIOVASCULAR SYSTEMS,Q1,6/237,HEMATOLOGY,Q1,4/103,PERIPHERAL VASCULAR DISEASE,Q1,2/100,,,,,,,,,
npj Digital Medicine,2398-6352,2398-6352,SCIE,18,HEALTH CARE SCIENCES & SERVICES,Q1,1/194,MEDICAL INFORMATICS,Q1,2/54,,,,,,,,,,,,
Academy of Management Annals,1941-6520,1941-6067,SSCI,18,BUSINESS,Q1,1/323,MANAGEMENT,Q1,2/426,,,,,,,,,,,,
HEPATOLOGY,0270-9139,1527-3350,SCIE,18,GASTROENTEROLOGY & HEPATOLOGY,Q1,7/153,,,,,,,,,,,,,,,
RENEWABLE & SUSTAINABLE ENERGY REVIEWS,1364-0321,1879-0690,SCIE,18,ENERGY & FUELS,Q1,11/191,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,Q1,4/114,,,,,,,,,,,,
ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,1520-4898,SCIE,18,"CHEMISTRY, MULTIDISCIPLINARY",Q1,15/250,,,,,,,,,,,,,,,
Smart Learning Environments,N/A,2196-7091,SSCI,17.9,EDUCATION & EDUCATIONAL RESEARCH,Q1,3/760,,,,,,,,,,,,,,,
TRENDS IN ECOLOGY & EVOLUTION,0169-5347,1872-8383,SCIE,17.9,ECOLOGY,Q1,1/205,EVOLUTIONARY BIOLOGY,Q1,1/54,GENETICS & HEREDITY,Q1,3/192,,,,,,,,,
PERIODONTOLOGY 2000,0906-6713,1600-0757,SCIE,17.8,"DENTISTRY, ORAL SURGERY & MEDICINE",Q1,1/165,,,,,,,,,,,,,,,
Psychological Science in the Public Interest,1529-1006,2160-0031,SSCI,17.6,"PSYCHOLOGY, MULTIDISCIPLINARY",Q1,4/222,,,,,,,,,,,,,,,
AMERICAN JOURNAL OF BIOETHICS,1526-5161,1536-0075,"SSCI, SCIE",17.6,ETHICS,Q1,1/78,MEDICAL ETHICS,Q1,1/22,SOCIAL ISSUES,Q1,1/72,"SOCIAL SCIENCES, BIOMEDICAL",Q1,1/48,,,,,,
International Journal of Oral Science,1674-2818,2049-3169,SCIE,17.6,"DENTISTRY, ORAL SURGERY & MEDICINE",Q1,2/165,,,,,,,,,,,,,,,
RADIOLOGY,0033-8419,1527-1315,SCIE,17.6,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Q1,3/217,,,,,,,,,,,,,,,
ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,1433-7851,1521-3773,SCIE,17.6,"CHEMISTRY, MULTIDISCIPLINARY",Q1,16/250,,,,,,,,,,,,,,,
Nature Human Behaviour,2397-3374,2397-3374,"SCIE, SSCI",17.5,MULTIDISCIPLINARY SCIENCES,Q1,10/140,NEUROSCIENCES,Q1,7/330,"PSYCHOLOGY, EXPERIMENTAL",Q1,2/104,,,,,,,,,
Journal of the National Comprehensive Cancer Network,1540-1405,1540-1413,SCIE,17.5,ONCOLOGY,Q1,19/333,,,,,,,,,,,,,,,
ACS Energy Letters,2380-8195,2380-8195,SCIE,17.5,"CHEMISTRY, PHYSICAL",Q1,13/191,ELECTROCHEMISTRY,Q1,3/44,ENERGY & FUELS,Q1,12/191,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,29/472,NANOSCIENCE & NANOTECHNOLOGY,Q1,12/148,,,
Experimental Hematology & Oncology,N/A,2162-3619,SCIE,17.5,HEMATOLOGY,Q1,5/103,ONCOLOGY,Q1,19/333,,,,,,,,,,,,
EXPERIMENTAL AND MOLECULAR MEDICINE,1226-3613,2092-6413,SCIE,17.5,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q1,10/328,"MEDICINE, RESEARCH & EXPERIMENTAL",Q1,4/191,,,,,,,,,,,,
Computer Science Review,1574-0137,1876-7745,SCIE,17.5,"COMPUTER SCIENCE, INFORMATION SYSTEMS",Q1,2/266,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",Q1,1/128,"COMPUTER SCIENCE, THEORY & METHODS",Q1,3/146,,,,,,,,,
Information Fusion,1566-2535,1872-6305,SCIE,17.4,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Q1,7/210,"COMPUTER SCIENCE, THEORY & METHODS",Q1,4/146,,,,,,,,,,,,
TRENDS IN FOOD SCIENCE & TECHNOLOGY,0924-2244,1879-3053,SCIE,17.4,FOOD SCIENCE & TECHNOLOGY,Q1,2/187,,,,,,,,,,,,,,,
Energy Material Advances,2097-1133,2692-7640,ESCI,17.4,"PHYSICS, APPLIED",Q1,10/191,,,,,,,,,,,,,,,
ACS Nano,1936-0851,1936-086X,SCIE,17.3,"CHEMISTRY, MULTIDISCIPLINARY",Q1,17/250,"CHEMISTRY, PHYSICAL",Q1,14/191,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,30/472,NANOSCIENCE & NANOTECHNOLOGY,Q1,13/148,,,,,,
ANNALS OF INTERNAL MEDICINE,0003-4819,1539-3704,SCIE,17.2,"MEDICINE, GENERAL & INTERNAL",Q1,9/336,,,,,,,,,,,,,,,
Annual Review of Public Health,0163-7525,1545-2093,"SCIE, SSCI",17.2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q1,6/443,,,,,,,,,,,,,,,
Chinese Journal of Catalysis,0253-9837,1872-2067,SCIE,17.2,"CHEMISTRY, APPLIED",Q1,1/77,"CHEMISTRY, PHYSICAL",Q1,15/191,"ENGINEERING, CHEMICAL",Q1,6/183,,,,,,,,,
BMEMat,2751-7438,2751-7446,ESCI,17.2,"MATERIALS SCIENCE, BIOMATERIALS",Q1,3/58,NANOSCIENCE & NANOTECHNOLOGY,Q1,14/148,,,,,,,,,,,,
JAMA Pediatrics,2168-6203,2168-6211,SCIE,17.1,PEDIATRICS,Q1,1/190,,,,,,,,,,,,,,,
Nature Ecology & Evolution,2397-334X,2397-334X,SCIE,17.1,ECOLOGY,Q1,2/205,EVOLUTIONARY BIOLOGY,Q1,2/54,,,,,,,,,,,,
Journal of Advanced Research,2090-1232,2090-1224,SCIE,17.1,MULTIDISCIPLINARY SCIENCES,Q1,11/140,,,,,,,,,,,,,,,
Current Obesity Reports,2162-4968,2162-4968,SCIE,17,ENDOCRINOLOGY & METABOLISM,Q1,8/198,NUTRITION & DIETETICS,Q1,2/114,,,,,,,,,,,,
INTERNATIONAL MATERIALS REVIEWS,0950-6608,1743-2804,SCIE,17,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,31/472,,,,,,,,,,,,,,,
Neuron,0896-6273,1097-4199,SCIE,16.9,NEUROSCIENCES,Q1,8/330,,,,,,,,,,,,,,,
Annual Review of Entomology,0066-4170,1545-4487,SCIE,16.9,ENTOMOLOGY,Q1,1/110,,,,,,,,,,,,,,,
Cell Discovery,N/A,2056-5968,SCIE,16.9,CELL BIOLOGY,Q1,16/207,,,,,,,,,,,,,,,
FEMS MICROBIOLOGY REVIEWS,0168-6445,1574-6976,SCIE,16.9,MICROBIOLOGY,Q1,8/167,,,,,,,,,,,,,,,
Physical Review X,2160-3308,2160-3308,SCIE,16.8,"PHYSICS, MULTIDISCIPLINARY",Q1,5/112,,,,,,,,,,,,,,,
IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,0733-8716,1558-0008,SCIE,16.8,"ENGINEERING, ELECTRICAL & ELECTRONIC",Q1,6/369,TELECOMMUNICATIONS,Q1,2/127,,,,,,,,,,,,
Journal of Materials Science & Technology,1005-0302,1941-1162,SCIE,16.8,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,32/472,METALLURGY & METALLURGICAL ENGINEERING,Q1,1/97,,,,,,,,,,,,
Smart Molecules,2751-4587,2751-4595,ESCI,16.8,"CHEMISTRY, MULTIDISCIPLINARY",Q1,18/250,,,,,,,,,,,,,,,
METABOLISM-CLINICAL AND EXPERIMENTAL,0026-0495,1532-8600,SCIE,16.7,ENDOCRINOLOGY & METABOLISM,Q1,9/198,,,,,,,,,,,,,,,
Nano Energy,2211-2855,2211-3282,SCIE,16.7,"CHEMISTRY, PHYSICAL",Q1,16/191,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,33/472,NANOSCIENCE & NANOTECHNOLOGY,Q1,15/148,"PHYSICS, APPLIED",Q1,11/191,,,,,,
Green Energy & Environment,2096-2797,2468-0257,SCIE,16.7,"CHEMISTRY, PHYSICAL",Q1,16/191,ENERGY & FUELS,Q1,13/191,"ENGINEERING, CHEMICAL",Q1,7/183,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,Q1,5/114,,,,,,
Journal of the American Chemical Society,0002-7863,1520-5126,SCIE,16.6,"CHEMISTRY, MULTIDISCIPLINARY",Q1,19/250,,,,,,,,,,,,,,,
TRENDS IN BIOTECHNOLOGY,0167-7799,1879-3096,SCIE,16.6,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,Q1,3/180,,,,,,,,,,,,,,,
Energy Reviews,N/A,2772-9702,ESCI,16.5,ENERGY & FUELS,Q1,14/191,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,34/472,,,,,,,,,,,,
Science Immunology,2470-9468,2470-9468,SCIE,16.4,IMMUNOLOGY,Q1,6/183,,,,,,,,,,,,,,,
Biomedical Technology,N/A,2949-723X,ESCI,16.4,"ENGINEERING, BIOMEDICAL",Q1,5/130,"MATERIALS SCIENCE, BIOMATERIALS",Q1,4/58,,,,,,,,,,,,
Annual Review of Environment and Resources,1543-5938,1545-2050,"SCIE, SSCI",16.3,ENVIRONMENTAL SCIENCES,Q1,8/395,ENVIRONMENTAL STUDIES,Q1,3/202,,,,,,,,,,,,
MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT,0149-2195,1545-861X,SCIE,16.2,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Q1,7/443,,,,,,,,,,,,,,,
PROGRESS IN RETINAL AND EYE RESEARCH,1350-9462,1873-1635,SCIE,16.2,OPHTHALMOLOGY,Q1,1/98,,,,,,,,,,,,,,,
Redox Biology,2213-2317,2213-2317,SCIE,16.2,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q1,11/328,,,,,,,,,,,,,,,
Clinical Gastroenterology and Hepatology,1542-3565,1542-7714,SCIE,16.2,GASTROENTEROLOGY & HEPATOLOGY,Q1,8/153,,,,,,,,,,,,,,,
Materials Reports: Energy,N/A,2666-9358,ESCI,16.2,"CHEMISTRY, MULTIDISCIPLINARY",Q1,20/250,ENERGY & FUELS,Q1,15/191,"MATERIALS SCIENCE, MULTIDISCIPLINARY",Q1,35/472,,,,,,,,,
Artificial Intelligence in Agriculture,2097-2113,2589-7217,SCIE,16.1,"AGRICULTURE, MULTIDISCIPLINARY",Q1,1/95,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Q1,8/210,,,,,,,,,,,,
Molecular Cell,1097-2765,1097-4164,SCIE,16,BIOCHEMISTRY & MOLECULAR BIOLOGY,Q1,12/328,CELL BIOLOGY,Q1,17/207,,,,,,,,,,,,
IEEE Reviews in Biomedical Engineering,1937-3333,1941-1189,SCIE,16,"ENGINEERING, BIOMEDICAL",Q1,6/130,,,,,,,,,,,,,,,
International Journal of Mining Science and Technology,2095-2686,2212-6066,SCIE,15.9,MINING & MINERAL PROCESSING,Q1,1/35,,,,,,,,,,,,,,,
AMERICAN JOURNAL OF PSYCHIATRY,0002-953X,1535-7228,"SCIE, SSCI",15.9,PSYCHIATRY,Q1,4/293,,,,,,,,,,,,,,,
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,1089-778X,1941-0026,SCIE,15.9,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",Q1,9/210,"COMPUTER SCIENCE, THEORY & METHODS",Q1,5/146,,,,,,,,,,,,
Biogeotechnics,N/A,2949-9291,ESCI,15.9,"ENGINEERING, GEOLOGICAL",Q1,1/68,,,,,,,,,,,,,,,
